Secteur;Région;Province
YONNE;BOURGOGNE FRANCHE-COMTE;SUD EST
COTE D OR;BOURGOGNE FRANCHE-COMTE;SUD EST
BELFORT-MONTBELIARD;BOURGOGNE FRANCHE-COMTE;SUD EST
BESANCON;BOURGOGNE FRANCHE-COMTE;SUD EST
JURA;BOURGOGNE FRANCHE-COMTE;SUD EST
NIEVRE;BOURGOGNE FRANCHE-COMTE;SUD EST
SAONE ET LOIRE;BOURGOGNE FRANCHE-COMTE;SUD EST
ALLIER;LOIRE AUVERGNE;SUD EST
PUY-DE-DOME;LOIRE AUVERGNE;SUD EST
HAUTE-LOIRE;LOIRE AUVERGNE;SUD EST
LA LOIRE;LOIRE AUVERGNE;SUD EST
BELLEY-ARS;VALLEE DU RHONE;SUD EST
LYON A;VALLEE DU RHONE;SUD EST
LYON B;VALLEE DU RHONE;SUD EST
LYON C;VALLEE DU RHONE;SUD EST
LYON D;VALLEE DU RHONE;SUD EST
VIENNE-ANNONAY;VALLEE DU RHONE;SUD EST
DROME ARDECHE NORD;VALLEE DU RHONE;SUD EST
DROME ARDECHE SUD;VALLEE DU RHONE;SUD EST
GENEVE-VAUD-PAYS DE GEX;ALPES ET SUISSE;SUD EST
FRIBOURG-JURA-ZURICH;ALPES ET SUISSE;SUD EST
VALAIS;ALPES ET SUISSE;SUD EST
HAUTE SAVOIE;ALPES ET SUISSE;SUD EST
SAVOIE;ALPES ET SUISSE;SUD EST
ISERE;ALPES ET SUISSE;SUD EST
AIX EN PROVENCE;PROVENCE LMEDITERRANEE;SUD EST
ALPES SUD;PROVENCE LMEDITERRANEE;SUD EST
NICE MONACO CORSE;PROVENCE LMEDITERRANEE;SUD EST
AVIGNON;PROVENCE LMEDITERRANEE;SUD EST
MARSEILLE;PROVENCE LMEDITERRANEE;SUD EST
TOULON;PROVENCE LMEDITERRANEE;SUD EST
